忍阶等级,忍阶名称,升级需要声望,每日扣除声望,银币奖励,奥义奖励,单场胜利所得声望,斗技场失败系数,每日获得声望,当前天数,当前总奥义,Unnamed: 11,竞技场排名,每日声望奖励,Unnamed: 14,调试数值,Unnamed: 16
1.0,忍者学员,0.0,0.0,40000.0,100.0,200.0,0.8,7695.0,0.0,0.0,,1,20000,,竞技场排名,200.0
2.0,下忍·牙,2000.0,0.0,46068.0,100.0,200.0,0.8,7695.0,0.2599090318388564,25.99090318388564,,2,16000,,每日购买次数,0.0
3.0,下忍·兽,1200.0,0.0,52632.0,150.0,200.0,0.8,7695.0,0.15594541910331383,23.391812865497073,,3,14000,,竞技场胜率,0.5
4.0,下忍·灵,1600.0,0.0,59722.0,200.0,200.0,0.8,7695.0,0.2079272254710851,41.58544509421702,,4,13000,,,
5.0,下忍·藏,2000.0,0.0,67368.0,250.0,200.0,0.8,7695.0,0.2599090318388564,64.9772579597141,,5,12000,,,
6.0,下忍·魔,2400.0,0.0,75570.0,300.0,200.0,0.8,7695.0,0.31189083820662766,93.56725146198829,,6,11600,,,
7.0,中忍·牙,2800.0,0.0,84448.0,1000.0,200.0,0.8,7695.0,0.36387264457439894,363.8726445743989,,7,11200,,,
8.0,中忍·兽,4000.0,0.0,93942.0,1050.0,200.0,0.8,7695.0,0.5198180636777128,545.8089668615984,,8,10800,,,
9.0,中忍·灵,7000.0,0.0,104184.0,1100.0,200.0,0.8,7695.0,0.9096816114359974,1000.6497725795971,,9,10400,,,
10.0,中忍·藏,10000.0,0.0,115178.0,1150.0,200.0,0.8,7695.0,1.299545159194282,1494.476933073424,,10,10000,,,
11.0,中忍·魔,13000.0,0.0,126960.0,1200.0,200.0,0.8,7695.0,1.6894087069525665,2027.2904483430798,,11,9800,,,
12.0,上忍·牙,16000.0,0.0,139608.0,1250.0,200.0,0.8,7695.0,2.079272254710851,2599.090318388564,,12,9600,,,
13.0,上忍·兽,20000.0,0.0,153208.0,1300.0,200.0,0.8,7695.0,2.599090318388564,3378.817413905133,,13,9400,,,
14.0,上忍·灵,28000.0,0.0,167716.0,1350.0,200.0,0.8,7695.0,3.6387264457439894,4912.2807017543855,,14,9200,,,
15.0,上忍·藏,30000.0,0.0,183312.0,1400.0,200.0,0.8,7695.0,3.898635477582846,5458.089668615984,,15,9000,,,
16.0,上忍·魔,30000.0,0.0,200000.0,1450.0,200.0,0.8,7695.0,3.898635477582846,5653.021442495126,,16,8800,,,
17.0,暗部·牙,40000.0,0.0,217828.0,1500.0,200.0,0.7,7545.0,5.301524188204109,7952.286282306163,,17,8600,,,
18.0,暗部·兽,60000.0,0.0,236898.0,1550.0,200.0,0.7,7545.0,7.952286282306163,12326.043737574553,,18,8400,,,
19.0,暗部·灵,70000.0,0.0,257264.0,1600.0,200.0,0.7,7545.0,9.27766732935719,14844.267726971504,,19,8200,,,
20.0,暗部·藏,80000.0,0.0,279096.0,1650.0,200.0,0.7,7545.0,10.603048376408218,17495.02982107356,,20,8000,,,
21.0,暗部·魔,90000.0,0.0,302340.0,1700.0,200.0,0.7,7545.0,11.928429423459244,20278.330019880716,,21,7950,,,
22.0,影·牙,100000.0,6000.0,327236.0,1750.0,200.0,0.7,1545.0,64.72491909385113,113268.60841423947,,22,7900,,,
23.0,影·兽,120000.0,6000.0,353728.0,1800.0,200.0,0.7,1545.0,77.66990291262135,139805.82524271845,,23,7850,,,
24.0,影·灵,140000.0,6000.0,382074.0,1850.0,200.0,0.7,1545.0,90.61488673139158,167637.5404530744,,24,7800,,,
25.0,影·藏,230000.0,6000.0,412216.0,1900.0,200.0,0.7,1545.0,148.8673139158576,282847.89644012944,,25,7750,,,
26.0,影·魔,200000.0,6000.0,444430.0,1950.0,200.0,0.7,1545.0,129.44983818770226,252427.1844660194,,26,7700,,,
27.0,木下之影,200000.0,8000.0,478728.0,2000.0,200.0,0.6,-605.0,-330.57851239669424,-661157.0247933884,,27,7650,,,
28.0,苍蓝野兽,300000.0,8000.0,515336.0,2050.0,200.0,0.6,-605.0,-495.8677685950413,-1016528.9256198347,,28,7600,,,
29.0,木遁传藏,300000.0,8000.0,554268.0,2100.0,200.0,0.6,-605.0,-495.8677685950413,-1041322.3140495868,,29,7550,,,
30.0,木叶白牙,400000.0,10000.0,595764.0,2150.0,200.0,0.6,-2605.0,-153.55086372360844,-330134.35700575815,,30,7500,,,
31.0,蛤蟆仙人,400000.0,10000.0,640000.0,2200.0,200.0,0.6,-2605.0,-153.55086372360844,-337811.90019193856,,31,7450,,,
32.0,空之太刀,400000.0,12000.0,686996.0,2250.0,200.0,0.5,-4755.0,-84.12197686645636,-189274.44794952683,,32,7400,,,
33.0,亲热天堂,500000.0,16000.0,737016.0,2300.0,200.0,0.5,-8755.0,-57.110222729868646,-131353.5122786979,,33,7350,,,
34.0,金色闪光,500000.0,20000.0,790254.0,2350.0,200.0,0.5,-12755.0,-39.20031360250882,-92120.73696589573,,34,7300,,,
35.0,森之千手,600000.0,25000.0,846912.0,2400.0,200.0,0.5,-17755.0,-33.793297662630245,-81103.91439031258,,35,7250,,,
36.0,六道,600000.0,30000.0,1154880.0,2500.0,200.0,0.5,-22755.0,-26.367831245880026,-65919.57811470007,,36,7200,,,
,,,,,,,,,,,,37,7150,,,
,,,,,,,,,,,,38,7100,,,
,,,,,,,,,,,,39,7050,,,
,,,,,,,,,,,,40,7030,,,
,,,,,,,,,,,,41,7010,,,
,,,,,,,,,,,,42,6990,,,
,,,,,,,,,,,,43,6970,,,
,,,,,,,,,,,,44,6950,,,
,,,,,,,,,,,,45,6930,,,
,,,,,,,,,,,,46,6910,,,
,,,,,,,,,,,,47,6890,,,
,,,,,,,,,,,,48,6870,,,
,,,,,,,,,,,,49,6850,,,
,,,,,,,,,,,,50,6830,,,
,,,,,,,,,,,,51,6810,,,
,,,,,,,,,,,,52,6790,,,
,,,,,,,,,,,,53,6770,,,
,,,,,,,,,,,,54,6750,,,
,,,,,,,,,,,,55,6730,,,
,,,,,,,,,,,,56,6710,,,
,,,,,,,,,,,,57,6689,,,
,,,,,,,,,,,,58,6669,,,
,,,,,,,,,,,,59,6649,,,
,,,,,,,,,,,,60,6629,,,
,,,,,,,,,,,,61,6609,,,
,,,,,,,,,,,,62,6589,,,
,,,,,,,,,,,,63,6569,,,
,,,,,,,,,,,,64,6549,,,
,,,,,,,,,,,,65,6529,,,
,,,,,,,,,,,,66,6509,,,
,,,,,,,,,,,,67,6489,,,
,,,,,,,,,,,,68,6469,,,
,,,,,,,,,,,,69,6449,,,
,,,,,,,,,,,,70,6429,,,
,,,,,,,,,,,,71,6409,,,
,,,,,,,,,,,,72,6389,,,
,,,,,,,,,,,,73,6369,,,
,,,,,,,,,,,,74,6349,,,
,,,,,,,,,,,,75,6329,,,
,,,,,,,,,,,,76,6309,,,
,,,,,,,,,,,,77,6289,,,
,,,,,,,,,,,,78,6269,,,
,,,,,,,,,,,,79,6249,,,
,,,,,,,,,,,,80,6229,,,
,,,,,,,,,,,,81,6209,,,
,,,,,,,,,,,,82,6189,,,
,,,,,,,,,,,,83,6169,,,
,,,,,,,,,,,,84,6149,,,
,,,,,,,,,,,,85,6129,,,
,,,,,,,,,,,,86,6109,,,
,,,,,,,,,,,,87,6089,,,
,,,,,,,,,,,,88,6069,,,
,,,,,,,,,,,,89,6049,,,
,,,,,,,,,,,,90,6029,,,
,,,,,,,,,,,,91,6009,,,
,,,,,,,,,,,,92,5989,,,
,,,,,,,,,,,,93,5969,,,
,,,,,,,,,,,,94,5949,,,
,,,,,,,,,,,,95,5929,,,
,,,,,,,,,,,,96,5909,,,
,,,,,,,,,,,,97,5889,,,
,,,,,,,,,,,,98,5869,,,
,,,,,,,,,,,,99,5849,,,
,,,,,,,,,,,,100,5829,,,
,,,,,,,,,,,,101,5809,,,
,,,,,,,,,,,,102,5789,,,
,,,,,,,,,,,,103,5769,,,
,,,,,,,,,,,,104,5749,,,
,,,,,,,,,,,,105,5729,,,
,,,,,,,,,,,,106,5709,,,
,,,,,,,,,,,,107,5689,,,
,,,,,,,,,,,,108,5669,,,
,,,,,,,,,,,,109,5649,,,
,,,,,,,,,,,,110,5629,,,
,,,,,,,,,,,,111,5609,,,
,,,,,,,,,,,,112,5599,,,
,,,,,,,,,,,,113,5589,,,
,,,,,,,,,,,,114,5579,,,
,,,,,,,,,,,,115,5569,,,
,,,,,,,,,,,,116,5559,,,
,,,,,,,,,,,,117,5549,,,
,,,,,,,,,,,,118,5539,,,
,,,,,,,,,,,,119,5529,,,
,,,,,,,,,,,,120,5519,,,
,,,,,,,,,,,,121,5509,,,
,,,,,,,,,,,,122,5499,,,
,,,,,,,,,,,,123,5489,,,
,,,,,,,,,,,,124,5479,,,
,,,,,,,,,,,,125,5469,,,
,,,,,,,,,,,,126,5459,,,
,,,,,,,,,,,,127,5449,,,
,,,,,,,,,,,,128,5439,,,
,,,,,,,,,,,,129,5429,,,
,,,,,,,,,,,,130,5419,,,
,,,,,,,,,,,,131,5409,,,
,,,,,,,,,,,,132,5399,,,
,,,,,,,,,,,,133,5389,,,
,,,,,,,,,,,,134,5379,,,
,,,,,,,,,,,,135,5369,,,
,,,,,,,,,,,,136,5359,,,
,,,,,,,,,,,,137,5349,,,
,,,,,,,,,,,,138,5339,,,
,,,,,,,,,,,,139,5329,,,
,,,,,,,,,,,,140,5319,,,
,,,,,,,,,,,,141,5309,,,
,,,,,,,,,,,,142,5299,,,
,,,,,,,,,,,,143,5289,,,
,,,,,,,,,,,,144,5279,,,
,,,,,,,,,,,,145,5269,,,
,,,,,,,,,,,,146,5259,,,
,,,,,,,,,,,,147,5249,,,
,,,,,,,,,,,,148,5239,,,
,,,,,,,,,,,,149,5229,,,
,,,,,,,,,,,,150,5219,,,
,,,,,,,,,,,,151,5209,,,
,,,,,,,,,,,,152,5199,,,
,,,,,,,,,,,,153,5189,,,
,,,,,,,,,,,,154,5179,,,
,,,,,,,,,,,,155,5175,,,
,,,,,,,,,,,,156,5171,,,
,,,,,,,,,,,,157,5167,,,
,,,,,,,,,,,,158,5163,,,
,,,,,,,,,,,,159,5159,,,
,,,,,,,,,,,,160,5155,,,
,,,,,,,,,,,,161,5151,,,
,,,,,,,,,,,,162,5147,,,
,,,,,,,,,,,,163,5143,,,
,,,,,,,,,,,,164,5139,,,
,,,,,,,,,,,,165,5135,,,
,,,,,,,,,,,,166,5131,,,
,,,,,,,,,,,,167,5127,,,
,,,,,,,,,,,,168,5123,,,
,,,,,,,,,,,,169,5119,,,
,,,,,,,,,,,,170,5115,,,
,,,,,,,,,,,,171,5111,,,
,,,,,,,,,,,,172,5107,,,
,,,,,,,,,,,,173,5103,,,
,,,,,,,,,,,,174,5099,,,
,,,,,,,,,,,,175,5095,,,
,,,,,,,,,,,,176,5091,,,
,,,,,,,,,,,,177,5087,,,
,,,,,,,,,,,,178,5083,,,
,,,,,,,,,,,,179,5079,,,
,,,,,,,,,,,,180,5075,,,
,,,,,,,,,,,,181,5071,,,
,,,,,,,,,,,,182,5067,,,
,,,,,,,,,,,,183,5063,,,
,,,,,,,,,,,,184,5059,,,
,,,,,,,,,,,,185,5055,,,
,,,,,,,,,,,,186,5051,,,
,,,,,,,,,,,,187,5047,,,
,,,,,,,,,,,,188,5043,,,
,,,,,,,,,,,,189,5039,,,
,,,,,,,,,,,,190,5035,,,
,,,,,,,,,,,,191,5031,,,
,,,,,,,,,,,,192,5027,,,
,,,,,,,,,,,,193,5023,,,
,,,,,,,,,,,,194,5019,,,
,,,,,,,,,,,,195,5015,,,
,,,,,,,,,,,,196,5011,,,
,,,,,,,,,,,,197,5007,,,
,,,,,,,,,,,,198,5003,,,
,,,,,,,,,,,,199,4999,,,
,,,,,,,,,,,,200,4995,,,
,,,,,,,,,,,,201,4991,,,
,,,,,,,,,,,,202,4987,,,
,,,,,,,,,,,,203,4983,,,
,,,,,,,,,,,,204,4979,,,
,,,,,,,,,,,,205,4975,,,
,,,,,,,,,,,,206,4971,,,
,,,,,,,,,,,,207,4967,,,
,,,,,,,,,,,,208,4963,,,
,,,,,,,,,,,,209,4959,,,
,,,,,,,,,,,,210,4955,,,
,,,,,,,,,,,,211,4951,,,
,,,,,,,,,,,,212,4947,,,
,,,,,,,,,,,,213,4943,,,
,,,,,,,,,,,,214,4939,,,
,,,,,,,,,,,,215,4935,,,
,,,,,,,,,,,,216,4931,,,
,,,,,,,,,,,,217,4927,,,
,,,,,,,,,,,,218,4923,,,
,,,,,,,,,,,,219,4919,,,
,,,,,,,,,,,,220,4915,,,
,,,,,,,,,,,,221,4911,,,
,,,,,,,,,,,,222,4907,,,
,,,,,,,,,,,,223,4903,,,
,,,,,,,,,,,,224,4899,,,
,,,,,,,,,,,,225,4895,,,
,,,,,,,,,,,,226,4891,,,
,,,,,,,,,,,,227,4887,,,
,,,,,,,,,,,,228,4883,,,
,,,,,,,,,,,,229,4879,,,
,,,,,,,,,,,,230,4875,,,
,,,,,,,,,,,,231,4871,,,
,,,,,,,,,,,,232,4867,,,
,,,,,,,,,,,,233,4863,,,
,,,,,,,,,,,,234,4859,,,
,,,,,,,,,,,,235,4855,,,
,,,,,,,,,,,,236,4851,,,
,,,,,,,,,,,,237,4847,,,
,,,,,,,,,,,,238,4843,,,
,,,,,,,,,,,,239,4839,,,
,,,,,,,,,,,,240,4835,,,
,,,,,,,,,,,,241,4831,,,
,,,,,,,,,,,,242,4827,,,
,,,,,,,,,,,,243,4823,,,
,,,,,,,,,,,,244,4819,,,
,,,,,,,,,,,,245,4815,,,
,,,,,,,,,,,,246,4811,,,
,,,,,,,,,,,,247,4807,,,
,,,,,,,,,,,,248,4803,,,
,,,,,,,,,,,,249,4799,,,
,,,,,,,,,,,,250,4795,,,
,,,,,,,,,,,,251,4791,,,
,,,,,,,,,,,,252,4787,,,
,,,,,,,,,,,,253,4783,,,
,,,,,,,,,,,,254,4779,,,
,,,,,,,,,,,,255,4775,,,
,,,,,,,,,,,,256,4771,,,
,,,,,,,,,,,,257,4767,,,
,,,,,,,,,,,,258,4763,,,
,,,,,,,,,,,,259,4759,,,
,,,,,,,,,,,,260,4755,,,
,,,,,,,,,,,,261,4751,,,
,,,,,,,,,,,,262,4747,,,
,,,,,,,,,,,,263,4743,,,
,,,,,,,,,,,,264,4739,,,
,,,,,,,,,,,,265,4735,,,
,,,,,,,,,,,,266,4731,,,
,,,,,,,,,,,,267,4727,,,
,,,,,,,,,,,,268,4723,,,
,,,,,,,,,,,,269,4719,,,
,,,,,,,,,,,,270,4715,,,
,,,,,,,,,,,,271,4711,,,
,,,,,,,,,,,,272,4707,,,
,,,,,,,,,,,,273,4703,,,
,,,,,,,,,,,,274,4699,,,
,,,,,,,,,,,,275,4695,,,
,,,,,,,,,,,,276,4691,,,
,,,,,,,,,,,,277,4687,,,
,,,,,,,,,,,,278,4683,,,
,,,,,,,,,,,,279,4679,,,
,,,,,,,,,,,,280,4675,,,
,,,,,,,,,,,,281,4671,,,
,,,,,,,,,,,,282,4667,,,
,,,,,,,,,,,,283,4663,,,
,,,,,,,,,,,,284,4659,,,
,,,,,,,,,,,,285,4655,,,
,,,,,,,,,,,,286,4651,,,
,,,,,,,,,,,,287,4647,,,
,,,,,,,,,,,,288,4643,,,
,,,,,,,,,,,,289,4639,,,
,,,,,,,,,,,,290,4635,,,
,,,,,,,,,,,,291,4631,,,
,,,,,,,,,,,,292,4627,,,
,,,,,,,,,,,,293,4623,,,
,,,,,,,,,,,,294,4619,,,
,,,,,,,,,,,,295,4615,,,
,,,,,,,,,,,,296,4611,,,
,,,,,,,,,,,,297,4607,,,
,,,,,,,,,,,,298,4603,,,
,,,,,,,,,,,,299,4599,,,
,,,,,,,,,,,,300,4595,,,
,,,,,,,,,,,,301,4591,,,
,,,,,,,,,,,,302,4587,,,
,,,,,,,,,,,,303,4583,,,
,,,,,,,,,,,,304,4579,,,
,,,,,,,,,,,,305,4575,,,
,,,,,,,,,,,,306,4571,,,
,,,,,,,,,,,,307,4567,,,
,,,,,,,,,,,,308,4563,,,
,,,,,,,,,,,,309,4559,,,
,,,,,,,,,,,,310,4555,,,
,,,,,,,,,,,,311,4551,,,
,,,,,,,,,,,,312,4547,,,
,,,,,,,,,,,,313,4543,,,
,,,,,,,,,,,,314,4539,,,
,,,,,,,,,,,,315,4535,,,
,,,,,,,,,,,,316,4531,,,
,,,,,,,,,,,,317,4527,,,
,,,,,,,,,,,,318,4523,,,
,,,,,,,,,,,,319,4519,,,
,,,,,,,,,,,,320,4515,,,
,,,,,,,,,,,,321,4511,,,
,,,,,,,,,,,,322,4507,,,
,,,,,,,,,,,,323,4503,,,
,,,,,,,,,,,,324,4499,,,
,,,,,,,,,,,,325,4495,,,
,,,,,,,,,,,,326,4491,,,
,,,,,,,,,,,,327,4487,,,
,,,,,,,,,,,,328,4483,,,
,,,,,,,,,,,,329,4479,,,
,,,,,,,,,,,,330,4475,,,
,,,,,,,,,,,,331,4471,,,
,,,,,,,,,,,,332,4467,,,
,,,,,,,,,,,,333,4463,,,
,,,,,,,,,,,,334,4459,,,
,,,,,,,,,,,,335,4455,,,
,,,,,,,,,,,,336,4451,,,
,,,,,,,,,,,,337,4447,,,
,,,,,,,,,,,,338,4443,,,
,,,,,,,,,,,,339,4439,,,
,,,,,,,,,,,,340,4435,,,
,,,,,,,,,,,,341,4431,,,
,,,,,,,,,,,,342,4427,,,
,,,,,,,,,,,,343,4423,,,
,,,,,,,,,,,,344,4419,,,
,,,,,,,,,,,,345,4415,,,
,,,,,,,,,,,,346,4411,,,
,,,,,,,,,,,,347,4407,,,
,,,,,,,,,,,,348,4403,,,
,,,,,,,,,,,,349,4399,,,
,,,,,,,,,,,,350,4395,,,
