排序号,声望奖励,游戏币奖励,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,单次挑战奖励银币
1,20000,49726,,,,,,,
2,16000,45940,,,,,,,"int(150.0 * (0.6 + 0.4 * isWind) * power(2, (ownerLevel + targetLevel) / 40.0) * log(6561.0 / (targetArenaRank + 8)) /log(3.0));"
3,14000,43726,,,,,,            iswin 是胜负的bool值， 胜利为1，失败为0,
4,13000,42155,,,,,,            owner.level  为自己的主将等级,
5,12000,40936,,,,,,            target.level  为对方的主将等级,
6,11600,39940,,,,,,            targetArenaRank  挑战前的对方的排名,
7,11200,39098,,,,,,,
8,10800,38369,,,,,,,排名每日奖励
9,10400,37726,,,,,,,
10,10000,37150,,,,,,,"int(2000 * pow(2, ownerLevel / 20.0) * log(6561.0 / (ArenaRank + 8)) / log(3.0));"
11,9800,36630,,,,,,,
12,9600,36155,,,,,,,
13,9400,35717,,,,,,,
14,9200,35313,,,,,,,
15,9000,34936,,,,,,,
16,8800,34583,,,,,,,
17,8600,34252,,,,,,,
18,8400,33940,,,,,,,
19,8200,33645,,,,,,,
20,8000,33365,,,,,,,
21,7950,33098,,,,,,,
22,7900,32844,,,,,,,
23,7850,32601,,,,,,,
24,7800,32369,,,,,,,
25,7750,32146,,,,,,,
26,7700,31932,,,,,,,
27,7650,31726,,,,,,,
28,7600,31527,,,,,,,
29,7550,31335,,,,,,,
30,7500,31150,,,,,,,
31,7450,30971,,,,,,,
32,7400,30798,,,,,,,
33,7350,30630,,,,,,,
34,7300,30467,,,,,,,
35,7250,30308,,,,,,,
36,7200,30155,,,,,,,
37,7150,30005,,,,,,,
38,7100,29859,,,,,,,
39,7050,29717,,,,,,,
40,7030,29579,,,,,,,
41,7010,29444,,,,,,,
42,6990,29313,,,,,,,
43,6970,29184,,,,,,,
44,6950,29059,,,,,,,
45,6930,28936,,,,,,,
46,6910,28816,,,,,,,
47,6890,28698,,,,,,,
48,6870,28583,,,,,,,
49,6850,28471,,,,,,,
50,6830,28360,,,,,,,
51,6810,28252,,,,,,,
52,6790,28146,,,,,,,
53,6770,28042,,,,,,,
54,6750,27940,,,,,,,
55,6730,27840,,,,,,,
56,6710,27742,,,,,,,
57,6689,27645,,,,,,,
58,6669,27550,,,,,,,
59,6649,27457,,,,,,,
60,6629,27365,,,,,,,
61,6609,27274,,,,,,,
62,6589,27186,,,,,,,
63,6569,27098,,,,,,,
64,6549,27012,,,,,,,
65,6529,26928,,,,,,,
66,6509,26844,,,,,,,
67,6489,26762,,,,,,,
68,6469,26681,,,,,,,
69,6449,26601,,,,,,,
70,6429,26523,,,,,,,
71,6409,26445,,,,,,,
72,6389,26369,,,,,,,
73,6369,26294,,,,,,,
74,6349,26219,,,,,,,
75,6329,26146,,,,,,,
76,6309,26074,,,,,,,
77,6289,26002,,,,,,,
78,6269,25932,,,,,,,
79,6249,25862,,,,,,,
80,6229,25794,,,,,,,
81,6209,25726,,,,,,,
82,6189,25659,,,,,,,
83,6169,25593,,,,,,,
84,6149,25527,,,,,,,
